ID,Eggrate,AOD,Geno,Treat,Mat
i969,0.208441558,47,GLEN,0.021,Y
i971,0.732142857,19,GLEN,0.021,Y
i973,0.142857143,21,GLEN,0.021,Y
i974,0.622807018,43,GLEN,0.021,Y
i975,0.097775306,65,GLEN,0.021,Y
i976,0.441758242,31,GLEN,0.021,Y
i977,0.391911765,37,GLEN,0.021,Y
i978,0.75,13,GLEN,0.021,Y
i980,0.488695652,51,GLEN,0.021,Y
i982,0.690601504,43,GLEN,0.021,Y
i984,0.274767378,59,GLEN,0.021,Y
i987,0.2,11,GLEN,0.021,Y
i990,0.64929972,73,GLEN,0.021,Y
i991,0.775,21,GLEN,0.021,Y
i992,0.45,11,GLEN,0.021,Y
i995,0.291071429,33,GLEN,0.021,Y
i998,0.357142857,19,GLEN,0.021,Y
i3650,0.530769231,31,GLEN,0.021,Y
i3660,0.633333333,21,GLEN,0.021,Y
i3663,0.942857143,15,GLEN,0.021,Y
i3664,0.8,15,GLEN,0.021,Y
i3665,0.876785714,35,GLEN,0.021,Y
i3666,0.928571429,19,GLEN,0.021,Y
i3667,0.581807082,57,GLEN,0.021,Y
i1001,0.388596491,41,GLEN,0.017,Y
i1002,0.068181818,31,GLEN,0.017,Y
i1003,0.609090909,25,GLEN,0.017,Y
i1004,0.195054945,29,GLEN,0.017,Y
i1005,0.583928571,35,GLEN,0.017,Y
i1006,0.25,11,GLEN,0.017,Y
i1010,0.9,11,GLEN,0.017,Y
i1011,0.044642857,35,GLEN,0.017,Y
i1013,0.348275862,61,GLEN,0.017,Y
i1014,0.8,15,GLEN,0.017,Y
i1015,0.3,11,GLEN,0.017,Y
i1020,0.086171311,39,GLEN,0.017,Y
i1022,0.529411765,39,GLEN,0.017,Y
i1023,0.480701754,43,GLEN,0.017,Y
i1025,0.299019608,39,GLEN,0.017,Y
i1027,0.517946346,95,GLEN,0.017,Y
i1028,0.807142857,33,GLEN,0.017,Y
i1030,0.25,11,GLEN,0.017,Y
i1033,0.733928571,31,GLEN,0.017,Y
i1034,0.261538462,33,GLEN,0.017,Y
i3668,0.490909091,25,GLEN,0.017,Y
i3670,0.351648352,33,GLEN,0.017,Y
i3675,0.575,23,GLEN,0.017,Y
i3679,0.535714286,19,GLEN,0.017,Y
i3680,0.5,25,GLEN,0.017,Y
i3686,0.064615385,55,GLEN,0.017,Y
i3687,0.220238095,25,GLEN,0.017,Y
i1037,0.375,17,GLEN,0.013,Y
i1041,0.130952381,19,GLEN,0.013,Y
i1042,0.168181818,27,GLEN,0.013,Y
i1044,0.45,21,GLEN,0.013,Y
i1045,0.05008547,55,GLEN,0.013,Y
i1048,0.20877193,43,GLEN,0.013,Y
i1049,0.2,31,GLEN,0.013,Y
i1051,0.085064935,47,GLEN,0.013,Y
i1052,0.064088086,49,GLEN,0.013,Y
i1053,0.071428571,47,GLEN,0.013,Y
i1054,0.074754902,41,GLEN,0.013,Y
i1055,0.04233871,71,GLEN,0.013,Y
i1058,0.308333333,21,GLEN,0.013,Y
i1060,0.136363636,25,GLEN,0.013,Y
i1064,0.034684685,77,GLEN,0.013,Y
i1066,0.053846154,31,GLEN,0.013,Y
i1069,0.107350427,59,GLEN,0.013,Y
i1070,0.15,25,GLEN,0.013,Y
i1072,0.08021978,31,GLEN,0.013,Y
i3689,0.45,15,GLEN,0.013,Y
i3692,0.375824176,31,GLEN,0.013,Y
i3693,0.436363636,27,GLEN,0.013,Y
i3694,0.065934066,33,GLEN,0.013,Y
i3696,0.3,17,GLEN,0.013,Y
i3697,0.341666667,21,GLEN,0.013,Y
i3698,0.136363636,51,GLEN,0.013,Y
i3699,0.45,19,GLEN,0.013,Y
i1077,0.303571429,23,GLEN,0.008,Y
i1085,0.366666667,21,GLEN,0.008,Y
i1091,0.094405594,33,GLEN,0.008,Y
i1094,0.040441176,39,GLEN,0.008,Y
i1099,0.4,15,GLEN,0.008,Y
i1100,0.321428571,19,GLEN,0.008,Y
i1105,0.2,17,GLEN,0.008,Y
i1106,0.107692308,33,GLEN,0.008,Y
i1108,0.163636364,25,GLEN,0.008,Y
i1119,0.103550296,33,GLEN,0.008,Y
i1121,0.232142857,19,GLEN,0.008,Y
i1122,0.307692308,29,GLEN,0.008,Y
i1124,0.75,9,GLEN,0.008,Y
i1125,0.696428571,19,GLEN,0.008,Y
i1127,0.214285714,19,GLEN,0.008,Y
i1130,0.45,13,GLEN,0.008,Y
i1131,0.274725275,31,GLEN,0.008,Y
i1132,0.25,11,GLEN,0.008,Y
i3709,0.063636364,25,GLEN,0.008,Y
i3710,0.053571429,17,GLEN,0.008,Y
i394,0.5,21,2C,0.025,N
i396,0.127272727,29,2C,0.025,N
i398,0.5,13,2C,0.025,N
i399,0.75,11,2C,0.025,N
i415,0.535714286,19,2C,0.025,N
i1855,0.7,13,2C,0.025,N
i1856,0.479020979,29,2C,0.025,N
i1861,0.067532468,47,2C,0.025,N
i418,0.331818182,27,2C,0.021,N
i420,0.222077922,47,2C,0.021,N
i423,0.896969697,23,2C,0.021,N
i425,0.559090909,25,2C,0.021,N
i428,0.395104895,29,2C,0.021,N
i435,0.215652174,55,2C,0.021,N
i445,0.163636364,33,2C,0.021,N
i446,0.468131868,31,2C,0.021,N
i447,0.398864809,39,2C,0.021,N
i450,0.226538462,57,2C,0.021,N
i456,0.452255639,43,2C,0.021,N
i458,0.33041958,29,2C,0.021,N
i462,0.552941176,35,2C,0.021,N
i1869,0.116666667,25,2C,0.021,N
i1870,0.5,11,2C,0.021,N
i1874,0.084482759,61,2C,0.021,N
i1875,0.127205882,41,2C,0.021,N
i1876,0.3,15,2C,0.021,N
i1877,0.418992885,59,2C,0.021,N
i1880,0.087912088,33,2C,0.021,N
i1883,0.257142857,15,2C,0.021,N
i473,0.190441176,37,2C,0.017,N
